事件,东京,华阴县,少华山,渭州,雁门县,五台山,桃花山,野猪林,沧州,梁山,大名府,郓城县,黄泥岗,济州城,景阳岗,阳谷县,十字坡,孟州,白虎山/二龙山/清风山/清风寨/青州/对影山,揭阳岭/揭阳镇/江州/无为军小城/黄门山,蓟州,沂水,沂岭,饮马川,祝家庄,李家庄,登州,豋云山,高唐州,武冈镇,华州,芒砀山,曾头市,建康府,凌州,寇州,东平府,东昌府
欧鹏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邓飞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
燕顺,,,,,,,,,,梁山,,,,,,,,,白虎山/二龙山/清风山/清风寨/青州/对影山,,,,,,,,,,,,,,,,,,,
杨林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凌振,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒋敬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吕方,,,,,,,,,,梁山,,,,,,,,,白虎山/二龙山/清风山/清风寨/青州/对影山,,,,,,,,,,,,,,,,,,,
郭盛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安道全,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
皇甫端,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王英,,,,,,,,,,梁山,,,,,,,,,白虎山/二龙山/清风山/清风寨/青州/对影山,,,,,,,,,,,,,,,,,,,
扈三娘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鲍旭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
樊瑞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孔明,,,,,,,,,,,,,,,,,,,白虎山/二龙山/清风山/清风寨/青州/对影山,,,,,,,,,,,,,,,,,,,
孔亮,,,,,,,,,,,,,,,,,,,白虎山/二龙山/清风山/清风寨/青州/对影山,,,,,,,,,,,,,,,,,,,
项充,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李衮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金大坚,,,,,,,,,,,,,,济州城,,,,,,,,,,,,,,,,,,,,,,,,
马麟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
童威,,,,,,,,,,,,,,,,,,,,揭阳岭/揭阳镇/江州/无为军小城/黄门山,,,,,,,,,,,,,,,,,,
童猛,,,,,,,,,,,,,,,,,,,,揭阳岭/揭阳镇/江州/无为军小城/黄门山,,,,,,,,,,,,,,,,,,
孟康,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侯健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈达,,华阴县,少华山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杨春,,华阴县,少华山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
郑天寿,,,,,,,,,,梁山,,,,,,,,,白虎山/二龙山/清风山/清风寨/青州/对影山,,,,,,,,,,,,,,,,,,,
陶宗旺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋清,,,,,,,,,,,,郓城县,,,,,,,,,,,,,,,,,,,,,,,,,,
乐和,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龚旺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丁得孙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
